cEXT,cNEU,cAGR,cCON,cOPN,Article,Funct,Affect,CogMech,Inhib,Negemo,Sad,Bio,Body,Achiev,Health,Sexual,Adverbs,Prep,Relativ,Space,Time,Work,Certain,Assent,Anger,Insight,Posemo,Past,Verbs,Money,Percept,Friends,Social,Motion,Cause,Leisure,Incl,Home,Present,Humans,Anx,Relig,AuxVb,Negate,Ingest,Death,Quant,Tentat,Conj,Ipron,Pronoun,Swear,Hear,Family,See,Discrep,Numbers,Filler,Feel,Excl,Future,Nonflu,SheHe,Ppron,I,We,You,They
n,y,n,y,n,2,0,54,4,35,1,0,59,2,29,4,68,36,7,9,41,80,4,9,3,14,44,266,0,33,5,14,4,0,4,0,7,21,2,2,80,4,37,14,2,1,0,2,9,2,24,4,3,11,34,1,2,44,17,55,0,5,0,0,1,0,12,0,5
y,y,y,y,y,7,0,53,7,27,1,0,51,3,15,24,85,38,6,18,29,52,19,12,11,7,44,264,3,27,4,6,4,4,9,2,1,20,2,1,71,2,50,28,1,0,0,8,24,3,16,4,1,3,36,0,14,55,10,105,2,14,0,0,4,1,1,0,2
y,y,y,n,y,14,0,72,3,41,1,3,54,0,32,18,58,32,1,2,50,82,9,6,4,4,12,263,2,28,7,0,6,0,16,4,3,22,0,2,76,0,29,14,0,3,0,5,7,0,22,4,0,1,28,0,4,48,12,77,0,3,3,3,7,2,1,0,1
n,y,y,n,y,11,0,55,0,15,0,0,45,0,35,6,80,30,0,0,36,56,10,12,7,4,30,264,0,22,3,0,11,0,10,2,5,38,1,3,83,5,50,11,0,2,1,7,7,3,16,4,0,0,11,0,8,63,8,73,0,8,4,0,4,0,1,0,2
y,y,n,n,n,3,0,21,2,12,0,2,23,3,7,5,25,16,4,0,15,21,7,11,4,2,15,114,2,22,5,0,4,0,1,1,2,6,0,0,29,4,17,16,0,0,0,2,10,1,6,1,0,0,10,2,2,9,2,37,0,11,0,1,4,1,3,0,2
n,y,n,n,n,9,1,26,4,13,0,1,32,3,11,13,46,24,4,5,18,27,10,5,8,0,36,174,0,25,5,2,7,2,2,4,1,26,7,1,58,2,31,17,0,1,2,4,12,9,13,13,2,2,10,0,5,40,4,57,2,3,3,1,3,1,1,0,1
n,y,n,n,n,19,0,71,9,24,4,2,85,3,39,18,91,35,1,7,69,71,16,13,11,5,44,317,2,38,10,5,6,0,9,6,5,24,5,6,109,8,43,29,2,2,1,14,17,1,16,12,0,7,27,1,9,59,10,115,3,24,1,1,1,1,3,0,5
y,n,y,y,y,19,0,56,2,13,0,0,73,1,27,21,128,48,7,25,58,43,24,17,5,7,54,345,1,27,7,2,7,1,1,5,0,35,0,1,108,0,76,29,3,3,0,16,24,4,11,5,1,1,41,1,22,84,6,122,0,24,2,0,2,0,3,0,6
y,n,y,y,y,18,0,66,7,24,0,1,67,2,23,34,102,48,4,12,47,49,21,11,5,3,54,334,2,39,7,8,9,0,12,3,1,40,5,5,107,5,56,27,0,3,6,12,20,6,23,15,3,5,23,2,13,75,6,110,2,20,2,1,6,0,3,0,4
y,n,y,n,n,3,1,43,1,18,0,1,28,0,20,8,38,19,0,0,25,44,6,12,7,3,6,164,0,20,3,2,1,0,1,0,3,15,2,1,43,3,24,9,1,1,0,6,6,0,10,2,0,0,15,0,5,24,7,48,1,8,0,0,4,0,6,1,1
y,y,n,n,y,18,2,83,7,40,1,1,73,6,36,33,95,47,4,0,53,83,30,11,10,4,50,401,5,46,10,2,14,0,6,4,10,50,1,2,123,10,58,34,2,7,6,13,22,10,31,11,1,1,26,0,11,73,14,127,0,11,6,0,6,1,3,0,2
y,y,n,y,n,20,2,100,5,43,0,4,97,2,33,22,152,67,7,8,77,93,19,15,11,12,66,476,2,34,12,6,15,0,37,3,15,60,4,1,157,9,77,31,2,1,8,16,18,3,30,15,3,2,50,0,25,82,17,143,0,50,2,1,11,2,5,0,2
y,y,y,n,n,7,0,31,4,23,1,3,45,0,29,9,63,24,1,10,38,57,4,8,4,2,22,200,1,30,8,2,3,0,10,1,2,23,0,0,68,2,36,20,2,2,3,12,12,0,12,4,0,3,13,1,6,20,6,46,2,39,0,1,4,0,1,0,1
y,n,n,n,y,22,1,85,15,34,10,1,88,3,29,29,125,54,7,13,70,74,22,16,5,7,58,434,2,38,8,6,12,0,15,3,6,47,3,0,135,0,72,32,0,4,4,16,24,10,35,10,0,1,38,5,16,80,13,138,3,30,3,0,9,2,1,0,1
n,y,n,n,y,9,0,76,16,37,8,1,79,0,49,19,97,59,4,6,62,100,19,17,13,9,55,389,3,45,10,3,11,0,6,5,4,39,5,3,118,7,56,16,4,3,3,10,6,4,26,13,0,5,35,3,15,65,16,114,5,13,0,0,8,2,12,0,4
y,n,y,y,y,14,1,69,2,28,0,3,64,0,30,16,96,30,0,2,54,65,16,18,14,3,30,326,1,24,7,1,6,2,13,0,6,42,4,2,106,8,59,21,13,3,1,16,13,8,16,5,0,2,23,0,13,77,10,98,1,7,1,3,2,0,0,0,2
y,n,y,y,y,6,1,46,16,18,1,3,38,1,25,15,69,26,1,0,36,54,14,15,4,8,8,253,10,28,11,1,2,3,3,4,1,42,1,2,80,0,46,18,10,1,0,6,6,1,18,6,0,0,14,0,12,47,11,62,5,9,1,1,5,0,3,0,4
y,y,n,n,y,8,0,65,4,30,2,1,50,1,35,10,71,30,4,6,42,71,9,9,3,6,34,267,1,26,2,1,6,0,2,3,2,26,0,2,76,1,44,10,2,2,2,5,8,7,20,5,1,0,28,0,12,30,6,79,0,28,0,1,2,0,3,0,0
n,n,y,y,y,10,0,55,6,19,1,1,51,1,23,16,71,26,2,5,40,45,25,21,6,5,29,263,4,24,3,2,6,0,6,0,1,27,1,0,78,3,45,21,1,3,4,9,18,6,23,5,0,1,13,1,6,40,5,74,1,17,2,0,6,2,1,0,0
n,n,n,y,y,16,0,77,11,30,0,3,59,1,36,23,81,42,2,5,46,78,18,15,14,4,35,362,7,46,6,1,7,1,15,2,10,39,3,1,98,7,51,34,2,4,2,15,30,4,36,7,1,1,22,1,8,61,14,101,3,11,2,1,5,0,3,2,1
y,y,y,n,y,8,1,76,14,34,0,3,72,2,38,19,96,45,2,1,62,75,18,24,6,5,30,388,5,45,5,2,14,1,10,6,3,36,4,3,108,4,63,28,12,3,1,8,22,7,39,11,3,0,25,0,5,62,6,95,6,18,3,1,4,1,2,1,1
y,n,n,y,y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,y,n,y,n,20,2,76,9,28,4,12,78,0,49,26,129,47,10,5,53,79,21,25,18,7,73,450,1,47,18,10,19,4,12,0,7,71,1,1,149,4,79,38,1,8,1,18,20,14,34,4,2,0,30,1,18,92,10,142,3,15,6,2,3,0,2,0,0
y,y,y,y,n,16,1,59,10,18,0,2,44,2,22,9,68,23,1,6,32,37,18,10,8,8,28,249,7,25,5,1,2,0,2,2,0,31,4,1,75,6,45,17,1,5,2,4,12,3,28,8,1,0,4,0,9,37,2,68,2,17,0,0,2,0,0,0,0
n,y,n,y,y,14,0,54,4,24,0,1,88,2,31,17,105,43,5,8,61,61,21,23,18,9,44,354,1,48,11,2,13,0,5,3,2,33,5,2,121,9,59,24,0,3,1,10,13,1,19,9,2,4,24,3,17,72,9,116,1,13,5,0,3,0,4,0,8
y,n,n,n,n,9,1,67,5,27,1,1,57,1,53,22,102,56,3,0,43,85,11,24,5,7,27,380,0,38,6,15,18,1,2,6,5,55,6,0,112,5,70,28,1,3,2,10,22,1,29,14,0,0,20,0,10,60,13,92,4,30,6,1,15,1,1,0,1
n,y,n,y,y,5,1,83,4,39,0,5,91,1,34,18,96,38,5,44,39,100,17,20,15,2,73,399,2,36,13,6,7,9,4,3,11,34,6,1,125,0,56,31,7,2,2,15,18,3,51,12,1,9,26,0,2,51,28,95,1,38,7,0,7,1,7,0,2
n,n,n,n,y,32,1,138,12,66,5,3,146,6,72,58,210,77,0,7,119,142,41,40,27,26,70,771,4,83,17,7,25,1,26,5,16,74,4,4,220,11,137,58,1,11,10,40,41,8,60,20,1,0,43,1,27,122,11,241,2,49,10,0,12,1,1,1,8
y,y,y,n,n,21,1,86,17,35,6,1,86,1,37,38,139,66,2,3,62,83,25,24,19,5,53,503,6,58,14,6,20,2,3,8,5,69,3,1,155,13,85,35,2,4,1,22,20,10,32,12,3,0,33,0,20,111,13,161,2,14,7,0,6,4,0,0,2
y,y,y,y,n,19,0,67,7,28,0,3,50,2,21,21,76,43,1,2,47,52,25,16,5,3,18,298,2,33,17,0,7,1,9,6,6,38,6,2,88,0,40,33,7,2,1,9,16,6,25,13,1,0,20,0,3,60,5,96,5,10,1,1,10,5,1,0,1
n,y,n,n,n,22,0,110,11,46,0,3,114,0,33,47,115,57,3,22,81,87,20,28,16,5,77,495,1,47,15,6,12,1,7,2,8,55,4,1,169,9,54,48,0,3,3,16,33,7,30,9,7,5,50,4,16,83,10,170,3,18,2,1,8,1,0,1,9
y,n,y,y,n,10,3,47,5,25,0,6,59,0,20,13,73,22,1,8,46,54,11,13,7,7,35,254,3,24,11,2,11,1,5,4,0,27,1,3,86,2,50,19,3,0,1,12,8,6,17,6,2,3,8,1,11,47,8,67,0,13,2,0,6,0,4,1,2
y,y,y,n,n,19,0,69,11,28,2,0,90,3,32,28,147,52,7,23,64,69,29,22,18,22,70,458,4,56,14,4,13,0,8,3,6,54,3,3,144,3,93,41,8,3,2,14,27,8,34,12,1,11,33,0,25,83,11,156,4,24,5,0,7,4,2,1,5
y,y,n,n,n,5,0,23,2,5,0,3,35,0,8,8,39,23,0,1,25,17,5,5,1,4,15,135,0,10,8,5,8,0,0,1,3,9,0,0,44,9,25,13,4,0,2,7,5,1,4,3,1,0,9,1,7,21,4,39,1,8,0,0,0,4,0,0,0
y,y,n,n,y,4,0,52,3,18,0,7,64,2,29,20,83,44,8,15,47,56,7,12,11,5,41,303,0,43,15,1,7,2,6,2,2,36,3,0,100,0,50,24,2,0,2,14,9,2,13,7,0,0,27,2,14,64,9,89,3,7,0,1,2,0,5,1,2
n,n,n,n,n,28,0,106,21,33,14,16,171,2,48,42,202,81,4,11,131,97,36,24,22,12,85,681,3,79,43,17,22,6,18,11,4,88,7,1,259,12,97,86,7,7,11,39,43,9,42,30,3,2,30,2,34,130,20,203,3,52,13,7,13,1,12,1,15
y,y,n,n,n,25,0,95,9,35,0,11,108,2,42,36,158,72,2,27,81,83,34,21,11,10,61,520,1,59,26,0,10,1,7,6,3,50,2,2,158,8,92,49,3,5,2,18,23,8,41,10,4,0,39,4,28,117,11,169,4,18,3,7,4,2,5,0,4
y,y,y,n,n,18,1,88,6,37,2,5,77,1,30,22,117,38,1,11,64,69,20,18,9,9,26,386,2,39,8,5,11,4,25,5,5,41,0,1,118,5,68,24,14,4,1,13,16,0,27,7,1,3,17,1,17,85,6,99,1,16,0,1,5,1,5,0,1
n,y,n,n,y,18,0,72,8,36,1,4,88,1,20,18,93,42,1,10,68,61,15,9,4,1,48,328,6,21,11,0,8,0,9,2,7,23,3,1,111,3,45,26,0,2,0,6,15,11,25,5,1,0,25,0,12,49,7,90,2,39,6,1,9,1,0,0,1
n,y,n,n,y,7,0,44,1,22,0,1,42,1,18,6,48,17,2,4,35,48,8,6,3,4,13,195,0,26,6,1,7,1,7,0,2,22,2,0,64,1,27,18,0,3,1,8,12,0,17,3,0,0,10,2,9,32,11,50,1,10,0,0,0,0,2,0,1
y,n,y,y,n,27,0,103,12,39,0,1,92,2,57,42,140,67,6,4,79,103,39,25,14,10,61,487,4,56,7,2,7,1,15,5,6,51,5,4,143,3,75,38,0,13,1,15,30,20,30,11,2,0,33,3,15,104,18,165,6,13,1,1,5,1,0,0,0
n,y,y,n,n,13,0,41,2,5,0,2,55,0,19,18,84,26,0,0,55,26,9,13,4,4,13,229,1,24,7,5,3,1,7,6,1,22,0,3,77,0,49,14,0,4,1,10,7,4,7,7,0,0,12,1,15,62,6,73,1,5,0,0,3,1,2,0,0
n,y,n,n,y,10,0,62,4,23,0,3,28,1,12,17,43,36,0,0,22,38,17,8,1,3,19,240,2,27,7,5,8,0,2,1,1,35,3,0,63,3,26,16,2,0,1,12,8,2,30,5,0,0,20,0,4,22,3,72,2,13,3,2,0,2,2,2,1
n,y,y,y,y,17,0,55,4,26,0,1,51,0,21,22,74,26,0,2,39,47,28,14,8,5,41,278,2,25,14,4,6,0,1,4,5,41,2,1,92,6,51,25,0,3,3,12,11,10,12,9,1,1,15,0,7,45,3,98,1,4,5,1,5,6,1,0,7
y,y,n,n,y,9,0,45,2,18,0,0,41,0,23,10,71,22,1,1,37,37,12,20,9,4,18,257,2,28,4,0,2,0,3,3,8,32,0,0,73,0,46,15,0,8,0,8,11,6,24,3,0,1,15,0,9,47,4,67,0,7,2,0,5,1,1,0,3
n,n,y,y,y,4,1,43,4,14,0,2,25,1,12,11,33,18,14,0,11,28,11,8,1,4,29,156,1,13,3,7,2,0,4,0,2,13,2,1,38,0,23,13,0,1,0,6,9,6,16,2,1,0,17,2,7,26,1,50,2,0,0,1,3,0,4,0,1
y,n,y,y,y,5,0,25,2,14,0,0,33,1,9,6,47,20,0,0,32,24,5,13,10,3,5,159,0,15,1,0,8,0,4,2,2,15,1,0,48,1,33,11,0,3,0,6,10,1,5,3,2,0,9,0,2,32,4,41,0,5,0,0,6,0,0,0,1
n,n,y,n,y,7,0,58,13,30,2,3,47,6,25,14,69,43,3,4,35,61,15,17,11,12,45,308,0,38,6,22,12,7,12,6,9,37,3,2,84,2,43,40,2,6,2,13,34,6,29,11,0,2,18,0,12,36,10,84,11,12,4,3,4,0,0,0,1
n,y,y,n,y,20,4,103,6,30,2,2,85,3,45,42,126,64,0,3,75,89,33,20,11,8,28,458,2,47,10,4,18,0,16,4,4,60,3,2,145,6,76,43,4,7,2,26,30,6,18,9,2,2,30,0,19,76,21,159,0,34,2,1,6,2,12,0,4
n,n,n,n,y,14,0,94,9,40,1,0,71,5,35,28,108,40,5,3,54,90,12,26,12,5,34,424,6,62,12,4,7,4,13,7,11,40,2,1,111,8,60,36,1,1,1,17,23,6,42,10,1,3,34,1,13,82,15,117,1,16,1,0,7,2,6,0,7
n,n,y,n,y,15,1,114,24,63,4,3,12,0,52,26,78,54,1,1,2,131,32,22,11,10,25,469,2,41,7,7,9,5,1,10,11,65,2,5,77,8,50,25,0,6,3,12,18,3,104,15,3,2,37,0,18,26,21,133,15,32,0,3,4,1,1,0,1
n,n,y,n,y,5,0,40,5,20,2,0,37,0,16,9,45,19,1,2,28,40,10,2,2,5,11,160,0,16,5,2,7,0,4,4,0,8,3,2,45,2,30,16,3,1,0,2,11,1,13,8,0,0,13,0,2,36,4,43,3,2,4,0,4,1,1,0,1
n,y,n,n,y,22,0,72,9,26,0,3,64,0,12,9,80,28,3,7,49,51,17,16,8,4,33,309,5,25,9,2,10,0,4,3,1,37,2,0,101,4,53,17,0,1,1,4,7,12,32,6,2,0,25,0,4,64,12,78,2,8,1,1,6,1,0,0,0
y,n,n,n,y,22,4,54,3,17,0,0,53,0,27,18,63,30,0,18,36,44,25,13,5,4,37,239,1,24,3,3,3,2,5,3,1,23,3,1,76,0,30,24,0,6,2,5,19,6,23,8,0,0,21,0,6,45,6,84,2,12,1,0,4,2,2,0,0
n,n,y,n,n,21,1,144,10,48,1,7,158,4,41,26,202,82,13,40,96,118,17,28,13,1,106,698,2,70,20,10,28,0,22,5,14,65,9,2,223,3,117,68,4,1,6,27,47,4,52,20,2,3,55,6,13,135,28,174,5,57,6,1,9,2,14,3,5
n,n,n,y,y,33,4,149,14,76,2,7,104,9,49,59,178,68,1,2,67,134,66,41,14,14,80,722,5,93,15,9,17,1,14,3,7,100,7,6,204,16,100,82,7,11,9,28,66,8,80,19,5,0,34,0,22,121,16,231,3,26,20,4,7,1,0,0,2
n,y,n,y,y,4,0,49,4,16,1,1,29,1,23,6,39,22,0,0,22,40,8,10,3,1,17,180,1,11,2,4,3,0,6,1,3,17,0,4,46,0,25,16,2,3,4,6,15,3,17,5,0,0,16,0,5,24,4,45,2,10,7,0,7,0,2,0,0
y,n,y,n,n,17,0,90,15,34,0,3,92,3,31,15,115,48,1,1,79,69,20,28,6,5,30,459,13,48,11,0,11,1,7,4,5,49,5,0,141,11,71,58,0,2,0,12,43,9,42,9,2,0,39,0,8,83,5,111,0,14,1,0,12,5,3,0,2
y,n,n,y,n,21,1,115,23,43,4,2,82,2,35,55,118,63,0,1,75,94,32,22,12,7,36,511,1,63,9,1,10,2,6,14,3,66,3,2,148,5,59,34,0,3,3,21,25,11,55,20,9,0,26,0,13,74,17,154,9,32,2,1,8,0,4,0,4
y,y,y,n,y,17,0,63,12,22,0,2,75,2,36,30,92,49,1,17,64,60,13,24,16,5,34,334,7,48,13,4,11,1,6,6,2,24,2,0,99,2,47,38,4,7,1,9,25,0,16,9,4,2,25,3,8,68,9,114,1,11,0,0,7,1,6,0,8
y,n,y,n,n,15,0,90,4,28,2,1,89,1,56,50,113,48,8,24,50,94,26,15,9,4,74,415,2,54,11,6,7,3,1,6,6,48,6,2,137,4,60,45,1,4,2,13,34,13,26,14,1,1,36,2,10,71,14,144,0,29,3,0,9,3,7,0,4
n,y,n,n,n,33,0,53,10,17,1,0,64,1,9,12,109,31,0,11,51,34,12,14,10,9,25,292,4,17,8,1,27,0,3,13,1,42,0,1,106,2,62,17,0,1,1,7,9,1,15,14,2,4,19,0,9,85,7,109,3,6,0,0,12,0,1,0,6
n,n,y,n,n,12,1,36,3,15,1,1,45,1,15,27,64,34,0,7,37,34,19,5,4,5,21,216,0,25,2,3,12,1,0,6,2,25,3,0,70,0,38,19,0,4,3,7,17,2,9,12,2,0,20,1,9,52,7,92,0,6,2,1,2,0,2,0,0
y,n,y,n,n,7,0,25,4,9,0,2,38,0,9,9,51,15,2,9,25,20,11,4,1,3,28,157,1,18,4,5,2,3,6,0,3,18,1,1,56,2,30,11,1,0,2,7,7,5,11,3,3,0,14,2,5,35,2,45,0,10,0,0,4,0,1,0,0
n,y,n,n,y,22,1,53,10,29,0,1,62,0,17,16,91,27,14,3,30,56,7,3,6,3,45,260,3,22,10,0,7,0,2,4,2,23,6,4,85,4,48,20,3,0,3,17,12,1,21,13,2,0,29,0,3,67,10,92,5,16,13,0,8,2,0,1,5
y,y,n,y,y,10,0,10,2,7,0,1,25,0,9,8,25,13,0,0,21,14,12,3,2,0,9,87,2,8,5,0,2,0,2,2,0,9,0,0,34,2,14,11,0,2,0,4,6,1,5,2,0,0,9,0,2,22,0,35,0,1,2,0,2,0,1,0,3
n,n,y,y,y,10,1,72,5,33,3,1,80,0,37,18,112,28,8,24,45,79,24,11,6,14,60,352,0,32,8,5,6,1,3,3,3,44,1,2,124,2,66,26,1,5,3,9,18,5,24,7,1,3,24,0,17,70,13,95,1,14,2,1,2,0,6,1,2
n,n,n,n,n,22,0,73,3,27,0,1,92,0,48,31,130,19,1,4,83,78,18,23,16,15,40,375,3,28,1,2,3,0,10,8,8,33,2,3,125,7,76,23,0,9,1,24,22,8,14,11,0,0,17,3,18,90,10,120,0,19,0,0,7,0,5,0,0
y,y,n,y,y,6,2,44,8,23,1,3,45,0,10,3,72,20,3,3,40,37,8,6,3,1,23,207,5,24,3,5,9,0,8,5,1,16,3,1,61,0,42,8,1,1,2,5,5,4,22,10,0,1,9,1,11,57,5,44,2,8,1,1,4,0,5,1,0
n,y,n,y,y,13,0,55,0,23,0,2,41,1,19,8,74,23,0,0,37,43,13,12,8,4,20,245,0,31,8,2,5,0,8,3,4,40,0,3,81,3,47,19,2,4,0,12,11,5,8,3,0,0,10,0,4,55,4,60,0,9,1,0,5,5,0,0,0
y,y,y,y,n,13,8,70,9,40,0,1,87,4,22,32,111,51,5,7,72,78,19,25,9,6,33,432,7,53,5,0,16,0,12,3,7,54,1,1,141,1,69,26,2,1,2,10,21,2,32,6,0,2,29,3,8,74,14,120,2,28,2,0,6,0,8,0,4
y,n,y,y,n,13,2,69,2,32,1,0,79,1,35,15,94,39,2,27,47,82,9,15,12,0,54,354,1,26,9,1,4,2,6,6,3,41,7,1,120,3,51,22,0,3,2,9,13,3,36,15,0,3,30,0,5,22,18,90,0,64,0,0,5,2,2,2,5
y,n,y,y,n,9,0,67,1,25,0,1,23,1,32,15,60,21,0,3,17,70,19,24,10,10,15,255,0,29,4,1,8,0,10,1,6,30,2,0,53,2,39,11,5,1,1,5,7,3,29,4,1,0,21,0,4,34,14,78,0,8,1,0,6,0,2,0,0
y,y,n,y,n,4,0,51,2,18,0,0,63,4,27,13,60,29,0,1,56,53,13,16,5,9,13,255,1,30,4,6,8,1,6,1,4,18,0,1,81,6,39,16,2,0,0,12,12,1,17,1,0,4,8,0,9,37,8,56,1,11,0,0,3,0,5,0,4
n,n,n,n,y,27,0,54,2,16,0,0,74,2,30,19,113,34,2,4,66,57,14,10,6,6,28,327,2,28,2,6,18,3,17,1,1,38,3,7,112,2,69,21,0,5,0,16,19,1,24,4,0,0,13,1,7,80,15,123,0,20,0,0,3,0,2,1,1
y,y,y,y,n,32,0,88,6,30,2,2,85,1,46,20,138,37,0,7,71,86,21,28,19,5,38,454,0,60,9,1,15,0,7,7,5,64,2,2,149,5,80,27,0,4,1,24,18,7,22,11,1,0,32,0,10,98,13,144,3,23,4,0,6,1,0,1,3
n,n,y,n,y,27,1,59,4,26,0,3,99,0,28,25,128,45,2,12,84,56,24,12,10,11,36,371,2,37,4,2,12,1,11,2,4,27,1,3,126,4,74,28,5,7,4,17,23,8,24,7,2,5,27,1,24,80,9,131,0,22,0,0,4,0,4,0,0
y,n,n,y,y,20,0,84,12,37,2,6,98,2,49,28,121,53,4,12,80,96,16,17,6,7,45,429,4,34,14,3,7,7,10,10,8,46,2,5,144,5,67,45,1,9,1,15,30,4,36,14,2,2,34,0,16,84,19,127,5,19,0,3,3,1,5,1,2
n,y,n,n,y,31,0,81,17,46,1,3,117,3,33,36,181,55,3,12,89,94,17,8,13,13,82,498,4,65,11,6,8,1,10,4,2,44,2,3,161,13,103,38,1,3,1,39,27,37,34,7,7,3,27,1,33,141,16,153,5,14,0,0,9,2,7,0,4
y,n,y,y,y,19,0,93,5,34,0,2,81,1,43,22,89,44,8,11,55,88,19,18,13,7,58,417,3,35,6,4,3,1,6,8,4,50,4,0,131,5,61,29,1,2,4,10,22,9,41,16,0,1,30,2,10,71,10,115,2,6,4,1,3,1,4,0,1
y,n,y,n,n,16,11,69,9,34,0,9,61,1,34,12,117,39,5,10,43,83,20,20,9,15,57,343,4,26,17,4,10,0,6,5,5,38,4,3,99,5,66,37,5,3,1,14,20,17,27,10,0,9,17,0,21,78,18,100,5,13,2,3,5,0,6,4,1
y,y,n,y,y,17,0,75,6,38,2,5,77,3,20,12,125,28,1,44,41,72,38,21,6,12,71,334,3,43,20,10,11,6,4,5,3,14,6,0,91,0,66,69,15,2,0,24,49,8,21,11,1,7,21,0,21,79,14,107,1,22,0,3,6,2,4,0,4
y,n,y,y,y,7,0,56,0,34,0,1,46,2,29,15,63,32,12,2,30,66,16,18,5,6,36,252,0,25,7,13,4,2,9,2,3,27,1,1,73,2,35,30,3,6,0,8,25,5,21,3,0,0,37,3,6,31,7,88,0,18,0,0,4,1,2,0,3
y,y,n,y,y,28,0,117,9,55,3,4,73,5,55,48,136,52,1,0,60,120,72,39,11,13,54,557,4,70,14,11,13,5,10,8,6,80,6,1,153,2,79,49,0,4,4,17,35,13,61,18,0,1,20,1,15,89,14,180,2,20,10,1,6,0,8,1,3
y,y,y,n,y,22,0,125,27,43,0,4,157,2,61,52,218,64,11,49,94,115,34,33,10,21,83,686,3,50,17,15,13,1,8,4,3,90,6,0,247,1,133,76,3,1,4,31,58,2,39,15,20,0,29,0,39,142,12,175,4,34,2,1,8,0,2,0,9
n,y,n,y,n,17,1,126,6,45,4,1,116,2,52,37,161,99,6,15,92,107,18,24,16,8,59,632,0,74,10,4,26,0,12,8,4,74,4,0,190,4,110,51,0,10,3,13,40,2,36,16,2,0,62,4,10,91,21,179,0,48,0,0,5,0,4,0,1
y,n,y,y,y,20,0,56,7,17,1,2,73,0,30,24,104,32,2,8,61,49,14,17,8,13,35,345,0,45,6,2,8,0,7,4,2,40,0,0,113,2,74,17,1,4,4,17,11,5,21,9,1,6,20,0,11,69,5,98,6,11,2,3,5,1,2,1,1
y,n,n,n,y,20,0,90,4,36,0,5,56,2,28,33,91,56,2,1,45,69,16,15,12,3,41,388,3,56,16,9,16,1,10,1,1,45,5,0,101,3,52,35,0,2,4,14,19,2,37,10,1,1,23,2,9,56,6,119,0,22,6,0,9,5,2,2,2
n,n,y,n,y,31,0,81,14,32,2,1,76,3,27,30,100,42,2,9,65,65,37,19,7,12,35,353,2,27,4,13,17,0,12,4,3,40,4,1,116,4,56,29,2,8,6,6,25,3,33,16,1,1,18,3,11,66,13,122,10,14,1,1,7,0,2,1,2
n,y,y,n,n,14,0,84,6,25,0,2,75,1,41,30,102,38,3,11,62,68,20,18,16,11,29,368,2,45,13,2,9,0,1,4,8,26,2,0,101,0,63,34,2,8,1,20,19,4,21,7,3,1,23,0,17,61,9,124,1,13,0,0,7,1,3,0,8
n,y,n,n,n,28,0,74,10,31,3,7,88,2,20,20,144,40,0,3,78,67,33,25,6,6,43,403,4,42,16,0,19,5,9,1,3,51,4,2,139,2,74,32,6,4,2,29,16,7,24,7,0,2,20,4,21,113,18,123,7,10,5,7,5,2,3,3,4
n,y,n,n,n,7,0,62,9,28,1,0,91,2,34,38,103,37,2,9,72,73,13,15,10,4,44,389,4,42,7,1,7,1,8,2,6,22,7,3,113,4,67,27,0,4,1,18,20,2,41,10,0,5,19,2,12,73,15,101,6,18,5,0,8,0,9,0,3
y,n,n,n,n,4,1,53,4,17,0,0,33,1,12,7,46,15,0,0,32,40,12,15,3,1,11,183,1,14,1,6,1,0,13,1,1,15,0,1,48,1,28,7,0,0,2,4,6,1,13,3,2,5,14,0,4,41,11,45,1,3,0,0,2,0,3,0,0
n,y,y,y,y,11,0,71,11,33,1,3,84,1,25,30,98,59,0,17,60,61,27,16,10,9,47,389,4,35,11,2,9,1,1,6,3,42,5,1,126,3,66,35,0,9,1,19,24,12,25,14,2,0,36,0,17,75,14,129,6,8,4,1,6,0,1,0,1
y,n,y,y,y,13,0,101,17,35,1,0,72,1,55,23,130,44,2,5,60,103,19,19,10,10,44,440,9,58,8,25,5,3,14,3,5,34,7,2,106,6,81,44,2,6,4,17,34,6,45,14,5,0,25,2,17,96,20,101,2,11,1,0,8,2,7,2,3
n,n,n,n,y,22,0,64,5,25,0,2,91,1,30,29,136,35,1,2,81,59,24,19,4,7,34,362,2,40,9,7,6,6,10,7,4,33,6,3,124,6,72,45,2,6,5,20,36,7,19,18,1,4,10,2,29,103,11,108,2,13,2,0,4,0,5,0,4
n,n,y,n,y,16,1,50,13,28,4,2,48,1,27,11,67,27,0,1,45,62,21,15,2,0,11,264,1,35,5,1,7,3,10,7,4,29,0,2,77,2,45,20,6,3,0,9,15,4,20,7,1,0,11,0,4,58,10,71,8,8,0,3,4,0,1,0,2
n,y,y,n,n,22,0,65,1,22,0,3,54,0,32,25,70,32,5,0,40,58,24,12,6,1,41,284,1,21,5,1,9,1,5,9,2,45,2,2,99,2,41,19,1,7,2,17,14,0,17,13,0,0,7,1,9,51,11,103,0,13,7,0,2,0,0,0,1
y,y,n,y,n,35,0,77,1,21,0,2,87,3,39,33,138,55,6,0,56,62,33,14,9,9,63,451,0,48,8,3,16,0,7,6,6,63,4,4,150,19,89,33,2,9,5,15,25,4,25,15,0,0,27,0,10,93,12,146,1,28,6,0,4,2,2,0,0
